hs6,class,material,description,source
262040,general_waste,general_waste,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly aluminium","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
262060,general_waste,general_waste,"Slag, ash and residues: (not from the manufacture of iron or steel), containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
262091,general_waste,general_waste,"Slag, ash and residues: (not from the manufacture of iron or steel), containing antimony, beryllium, cadmium, chromium or their mixtures","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
262099,general_waste,general_waste,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly metals or their compounds, n.e.c. in heading no. 2620","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
262190,general_waste,general_waste,Slag and ash n.e.c. in chapter 26: including seaweed ash (kelp) but excluding ash and residues from the incineration of municipal waste,"Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
400400,general_waste,general_waste,"Rubber: waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
401700,general_waste,general_waste,"Rubber: ebonite and other hard rubbers in all forms, including waste and scrap, and articles of hard rubber","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
470620,general_waste,general_waste,Pulp: of fibres derived from recovered (waste and scrap) paper or paperboard,"Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
470691,general_waste,general_waste,"Pulp: of fibrous cellulosic material, other than of bamboo or fibres derived from recovered (waste and scrap) paper or paperboard or from cotton linters pulp, mechanical","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
470692,general_waste,general_waste,"Pulp: of fibrous cellulosic material, other than of bamboo or fibres derived from recovered (waste and scrap) paper or paperboard or from cotton linters pulp, chemical","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
470693,general_waste,general_waste,"Pulp: of fibrous cellulosic material, other than of bamboo or fibres derived from recovered (waste and scrap) paper or paperboard or from cotton linters pulp, obtained by a combination of mechanical and chemical processes","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
470710,general_waste,general_waste,"Paper or paperboard: waste and scrap, of unbleached kraft paper or paperboard or corrugated paper or paperboard","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
470720,general_waste,general_waste,"Paper or paperboard: waste and scrap, paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
470730,general_waste,general_waste,"Paper or paperboard: waste and scrap, paper or paperboard made mainly of mechanical pulp (e.g. newspapers, journals and similar printed matter)","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
470790,general_waste,general_waste,"Paper or paperboard: waste and scrap, of paper or paperboard n.e.c. in heading no. 4707 and of unsorted waste and scrap","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
720410,general_waste,general_waste,Ferrous waste and scrap: of cast iron,"Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
720421,general_waste,general_waste,Ferrous waste and scrap: of stainless steel,"Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
720429,general_waste,general_waste,Ferrous waste and scrap: of alloy steel (excluding stainless),"Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
720430,general_waste,general_waste,Ferrous waste and scrap: of tinned iron or steel,"Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
720441,general_waste,general_waste,"Ferrous waste and scrap: turnings, shavings, chips, milling waste, sawdust, fillings, trimmings and stampings, whether or not in bundles","Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
720449,general_waste,general_waste,Ferrous waste and scrap: n.e.c. in heading no. 7204,"Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
720450,general_waste,general_waste,Ferrous products: remelting scrap ingots,"Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
740400,general_waste,general_waste,Copper: waste and scrap,"Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
760200,general_waste,general_waste,Aluminium: waste and scrap,"Higashida-Managi waste_categories.csv restricted to chapters 26, 40, 47, 72, 74, 76"
